date,value
2019-01-10T00:00:00+00:00,1
2019-01-11T00:00:00+00:00,1
2019-01-15T00:00:00+00:00,0
2019-01-18T00:00:00+00:00,1
2019-01-19T00:00:00+00:00,1
2019-01-21T00:00:00+00:00,1
2019-01-24T00:00:00+00:00,0
2019-02-05T00:00:00+00:00,1
2019-02-21T00:00:00+00:00,1
2019-02-22T00:00:00+00:00,1
2019-02-27T00:00:00+00:00,1
2019-03-02T00:00:00+00:00,1
2019-03-09T00:00:00+00:00,1
2019-03-14T00:00:00+00:00,1
2019-03-16T00:00:00+00:00,1
2019-03-22T00:00:00+00:00,1
2019-03-27T00:00:00+00:00,0
2019-03-28T00:00:00+00:00,1
2019-03-31T00:00:00+00:00,1
2019-04-01T00:00:00+00:00,1
2019-04-04T00:00:00+00:00,2
2019-04-11T00:00:00+00:00,1
2019-04-17T00:00:00+00:00,1
2019-04-20T00:00:00+00:00,1
2019-04-29T00:00:00+00:00,1
2019-05-04T00:00:00+00:00,1
2019-05-05T00:00:00+00:00,1
2019-05-17T00:00:00+00:00,1
2019-05-22T00:00:00+00:00,1
2019-05-24T00:00:00+00:00,1
2019-05-27T00:00:00+00:00,1
2019-05-30T00:00:00+00:00,1
2019-06-05T00:00:00+00:00,1
2019-06-12T00:00:00+00:00,1
2019-06-20T00:00:00+00:00,1
2019-06-24T00:00:00+00:00,1
2019-06-25T00:00:00+00:00,1
2019-06-29T00:00:00+00:00,1
2019-07-05T00:00:00+00:00,1
2019-07-10T00:00:00+00:00,1
2019-07-11T00:00:00+00:00,0
2019-07-13T00:00:00+00:00,1
2019-07-20T00:00:00+00:00,1
2019-07-22T00:00:00+00:00,1
2019-07-25T00:00:00+00:00,2
2019-07-26T00:00:00+00:00,1
2019-07-30T00:00:00+00:00,1
2019-07-31T00:00:00+00:00,1
2019-08-05T00:00:00+00:00,1
2019-08-06T00:00:00+00:00,2
2019-08-08T00:00:00+00:00,1
2019-08-17T00:00:00+00:00,1
2019-08-19T00:00:00+00:00,1
2019-08-22T00:00:00+00:00,2
2019-08-29T00:00:00+00:00,0
2019-08-30T00:00:00+00:00,2
2019-09-12T00:00:00+00:00,1
2019-09-19T00:00:00+00:00,1
2019-09-22T00:00:00+00:00,1
2019-09-24T00:00:00+00:00,1
2019-09-25T00:00:00+00:00,2
2019-09-26T00:00:00+00:00,1
2019-10-04T00:00:00+00:00,1
2019-10-09T00:00:00+00:00,1
2019-10-11T00:00:00+00:00,1
2019-10-17T00:00:00+00:00,2
2019-11-02T00:00:00+00:00,1
2019-11-03T00:00:00+00:00,1
2019-11-04T00:00:00+00:00,1
2019-11-11T00:00:00+00:00,1
2019-11-13T00:00:00+00:00,2
2019-11-17T00:00:00+00:00,1
2019-11-23T00:00:00+00:00,1
2019-11-25T00:00:00+00:00,1
2019-11-26T00:00:00+00:00,1
2019-11-27T00:00:00+00:00,2
2019-12-05T00:00:00+00:00,1
2019-12-06T00:00:00+00:00,2
2019-12-07T00:00:00+00:00,2
2019-12-11T00:00:00+00:00,2
2019-12-16T00:00:00+00:00,1
2019-12-17T00:00:00+00:00,1
2019-12-18T00:00:00+00:00,1
2019-12-20T00:00:00+00:00,0
2019-12-24T00:00:00+00:00,1
2019-12-26T00:00:00+00:00,1
2019-12-27T00:00:00+00:00,1
